ENTIDAD,IDNAME,INCIDENCIA 2018,INCIDENCIA 2017
Aguascalientes,AS,478.52,645.77
Baja California,BC,661.29,567.1
Baja California Sur,BS,341.94,314.56
Campeche,CC,336.5,305.56
CDMX,DF,411.28,434.16
Chiapas,CS,348.82,357.97
Chihuahua,CH,490.59,436.15
Coahuila,CL,514.02,538.81
Colima,CM,533.1,366.52
Durango,DG,596.08,533.08
Estado de México,MC,360.66,377.21
Guanajuato,GT,279.1,267.16
Guerrero,GR,420.63,437.62
Hidalgo,HG,376.08,386.1
Jalisco,JC,422.1,455.79
Michoacán,MN,320.83,333.07
Morelos,MS,536.94,556.99
Nayarit,NT,620.71,488.03
Nuevo León,NL,452.6,368.59
Oaxaca,OC,270.42,267.11
Puebla,PL,241.09,244.85
Querétaro,QO,266.11,276.97
Quintana Roo,QR,365.58,290.67
San Luis Potosí,SP,440.14,457.26
Sinaloa,SL,568.01,599.72
Sonora,SR,406.83,396.79
Tabasco,TC,346.61,392.45
Tamaulipas,TS,730.87,615.4
Tlaxcala,TL,455.95,352.75
Veracruz,VZ,457.47,423.57
Yucatán,YN,319.98,308.35
Zacatecas,ZS,469.29,490.31
